Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
12/21/2015,46.5,0,0,0
12/22/2015,56,0.19,0,0
12/23/2015,55.5,1.16,0,0
12/24/2015,63,0.02,0,0
12/25/2015,58,0.1,0,0
12/26/2015,54.5,0.01,0,0
12/27/2015,55.5,0.08,0,0
12/28/2015,41.5,0.05,0.1,0
12/29/2015,41.5,0.66, T,0
12/30/2015,46,0.37,0,0
12/31/2015,47.5,0.06,0,0
1/1/2016,40,0,0,0
1/2/2016,37.5,0,0,0
1/3/2016,41.5,0,0,0
1/4/2016,26.5,0,0,0
1/5/2016,20.5,0,0,0
1/6/2016,30.5,0,0,0
1/7/2016,36.5,0,0,0
1/8/2016,39.5,0,0,0
1/9/2016,46.5,0.02,0,0
1/10/2016,49.5,1.28,0,0
1/11/2016,33.5,0,0,0
1/12/2016,33.5, T, T,0
1/13/2016,27.5,0,0,0
1/14/2016,31.5, T, T,0
1/15/2016,41, T,0,0
1/16/2016,48.5,0.33,0,0
1/17/2016,37,0.05,0.6,0
1/18/2016,26.5, T,0.1,1
1/19/2016,24.5,0,0, T
1/20/2016,34,0,0,0
1/21/2016,33,0,0,0
1/22/2016,25.5,0.01,0.2,0
1/23/2016,28.5,2.9,30.3,7
1/24/2016,27, T,0.1,28
1/25/2016,29.5,0,0,26
1/26/2016,40, T,0,22
1/27/2016,38,0,0,15
1/28/2016,33.5,0,0,11
1/29/2016,36.5, T,0,9
1/30/2016,33.5,0,0,7
1/31/2016,40.5,0,0,5
2/1/2016,50, T,0,2
2/2/2016,44,0,0,0
2/3/2016,47.5,0.44,0,0
2/4/2016,49,0.04,0,0
2/5/2016,37.5,0.76,4.6,1
2/6/2016,30.5,0,0,4
2/7/2016,37,0,0,2
2/8/2016,33.5,0.16,1.7,1
2/9/2016,31.5, T, T,2
2/10/2016,36,0.02,0.1,1
2/11/2016,26, T, T, T
2/12/2016,21.5, T, T,0
2/13/2016,16,0,0,0
2/14/2016,9,0,0,0
2/15/2016,28.5,0.64,1.7,0
2/16/2016,46.5,0.47,0,0
2/17/2016,38.5,0,0,0
2/18/2016,32,0,0,0
2/19/2016,32.5,0,0,0
2/20/2016,49.5,0,0,0
2/21/2016,48.5,0.08,0,0
2/22/2016,42.5,0,0,0
2/23/2016,39.5,0.29,0,0
2/24/2016,48,1.05,0,0
2/25/2016,48.5,0.04,0,0
2/26/2016,34.5,0,0,0
2/27/2016,34,0,0,0
2/28/2016,46.5,0,0,0
2/29/2016,52,0.06,0,0
3/1/2016,47,0,0,0
3/2/2016,41.5,0.16,0,0
3/3/2016,32, T, T,0
3/4/2016,34.5,0.13,1.4,1
3/5/2016,35.5,0,0, T
3/6/2016,38,0,0,0
3/7/2016,44,0,0,0
3/8/2016,50.5,0,0,0
3/9/2016,51.5,0,0,0
3/10/2016,61.5,0,0,0
3/11/2016,59,0.02,0,0
3/12/2016,47,0,0,0
3/13/2016,55, T,0,0
3/14/2016,47,0.47,0,0
3/15/2016,51, T,0,0
3/16/2016,50,0.01,0,0
3/17/2016,53.5, T,0,0
3/18/2016,52.5,0,0,0
3/19/2016,41.5,0,0,0
3/20/2016,39.5,0.03,0.1,0
3/21/2016,42,0.09,0.4,1
3/22/2016,44.5,0,0,0
3/23/2016,58.5,0,0,0
3/24/2016,50.5,0,0,0
3/25/2016,56.5, T,0,0
3/26/2016,45,0,0,0
3/27/2016,44.5,0,0,0
3/28/2016,53.5,0.48,0,0
3/29/2016,47.5,0,0,0
3/30/2016,42.5,0,0,0
3/31/2016,55.5, T,0,0
4/1/2016,59,0.02,0,0
4/2/2016,53.5,0.27,0,0
4/3/2016,42.5,0.1, T,0
